0;9.76;14.61;19.44;24.35;29.2
1;130.1;161.2;187.7;207.2;226.4
2;263;325;377;416;454
3;395;488;566;625;682
4;530;651;756;834;910
5;661;815;945;1042;1139
6;798;979;1136;1252;1367
7;931;1144;1326;1462;1596
8;1070;1310;1518;1673;1825
9;1195;1477;1710;1884;2055
